Software,Version,Dependent Toolchain,Module Load Command
JupyterLab,4.4.4,foss/2025a,`module load foss/2025a JupyterLab/4.4.4`
maturin,1.8.3,foss/2025a,`module load foss/2025a maturin/1.8.3`
meson-python,0.18.0,foss/2025a,`module load foss/2025a meson-python/0.18.0`
UCX-CUDA,1.18.0-CUDA-12.8.0,foss/2025a,`module load foss/2025a UCX-CUDA/1.18.0-CUDA-12.8.0`
Qhull,2020.2,foss/2025a,`module load foss/2025a Qhull/2020.2`
Python-bundle-PyPI,2025.04,foss/2025a,`module load foss/2025a Python-bundle-PyPI/2025.04`
OpenPGM,5.2.122,foss/2025a,`module load foss/2025a OpenPGM/5.2.122`
libwebp,1.5.0,foss/2025a,`module load foss/2025a libwebp/1.5.0`
Tk,8.6.16,foss/2025a,`module load foss/2025a Tk/8.6.16`
libdeflate,1.24,foss/2025a,`module load foss/2025a libdeflate/1.24`
pkgconf,2.3.0,foss/2025a,`module load foss/2025a pkgconf/2.3.0`
libyaml,0.2.5,foss/2025a,`module load foss/2025a libyaml/0.2.5`
Gurobi,12.0.3,foss/2025a,`module load foss/2025a Gurobi/12.0.3`
nodejs,20.13.1,foss/2024a,`module load foss/2024a nodejs/20.13.1`
Rust,1.78.0,foss/2024a,`module load foss/2024a Rust/1.78.0`
zlib,.1.3.1,foss/2024a,`module load foss/2024a zlib/.1.3.1`
zlib,.1.2.13,foss/2024a,`module load foss/2024a zlib/.1.2.13`
jbigkit,2.1,foss/2024a,`module load foss/2024a jbigkit/2.1`
Qt6,6.7.2,foss/2024a,`module load foss/2024a Qt6/6.7.2`
libgd,2.3.3,foss/2024a,`module load foss/2024a libgd/2.3.3`
lz4,1.9.4,foss/2024a,`module load foss/2024a lz4/1.9.4`
motif,2.3.8,foss/2024a,`module load foss/2024a motif/2.3.8`
libarchive,3.7.4,foss/2024a,`module load foss/2024a libarchive/3.7.4`
virtualenv,20.26.2,foss/2024a,`module load foss/2024a virtualenv/20.26.2`
Ninja,1.12.1,foss/2024a,`module load foss/2024a Ninja/1.12.1`
Perl,5.38.2,foss/2024a,`module load foss/2024a Perl/5.38.2`
SIP,6.10.0,foss/2024a,`module load foss/2024a SIP/6.10.0`
M4,1.4.19,foss/2024a,`module load foss/2024a M4/1.4.19`
GLib,2.80.4,foss/2024a,`module load foss/2024a GLib/2.80.4`
ICU,75.1,foss/2024a,`module load foss/2024a ICU/75.1`
giflib,5.2.1,foss/2024a,`module load foss/2024a giflib/5.2.1`
groff,1.23.0,foss/2024a,`module load foss/2024a groff/1.23.0`
Meson,1.4.0,foss/2024a,`module load foss/2024a Meson/1.4.0`
Z3,4.13.0,foss/2024a,`module load foss/2024a Z3/4.13.0`
gettext,0.22.5,foss/2024a,`module load foss/2024a gettext/0.22.5`
LittleCMS,2.16,foss/2024a,`module load foss/2024a LittleCMS/2.16`
scikit-build,0.17.6,foss/2024a,`module load foss/2024a scikit-build/0.17.6`
Szip,2.1.1,foss/2024a,`module load foss/2024a Szip/2.1.1`
libffi,3.4.5,foss/2024a,`module load foss/2024a libffi/3.4.5`
PCRE,8.45,foss/2024a,`module load foss/2024a PCRE/8.45`
Eigen,3.4.0,foss/2024a,`module load foss/2024a Eigen/3.4.0`
PyYAML,6.0.2,foss/2024a,`module load foss/2024a PyYAML/6.0.2`
GObject-Introspection,1.80.1,foss/2024a,`module load foss/2024a GObject-Introspection/1.80.1`
LAME,3.100,foss/2024a,`module load foss/2024a LAME/3.100`
snappy,1.2.1,foss/2024a,`module load foss/2024a snappy/1.2.1`
NSS,3.104,foss/2024a,`module load foss/2024a NSS/3.104`
expat,2.6.2,foss/2024a,`module load foss/2024a expat/2.6.2`
Abseil,20240722.0,foss/2024a,`module load foss/2024a Abseil/20240722.0`
Autoconf,2.72,foss/2024a,`module load foss/2024a Autoconf/2.72`
hatchling,1.24.2,foss/2024a,`module load foss/2024a hatchling/1.24.2`
Xvfb,21.1.14,foss/2024a,`module load foss/2024a Xvfb/21.1.14`
xxd,9.1.1275,foss/2024a,`module load foss/2024a xxd/9.1.1275`
flit,3.9.0,foss/2024a,`module load foss/2024a flit/3.9.0`
XZ,5.4.5,foss/2024a,`module load foss/2024a XZ/5.4.5`
cppy,1.2.1,foss/2024a,`module load foss/2024a cppy/1.2.1`
X11,20240607,foss/2024a,`module load foss/2024a X11/20240607`
Mesa,24.1.3,foss/2024a,`module load foss/2024a Mesa/24.1.3`
GLPK,5.0,foss/2024a,`module load foss/2024a GLPK/5.0`
archspec,0.2.5,foss/2024a,`module load foss/2024a archspec/0.2.5`
Bison,3.8.2,foss/2024a,`module load foss/2024a Bison/3.8.2`
setuptools-rust,1.9.0,foss/2024a,`module load foss/2024a setuptools-rust/1.9.0`
Lua,5.4.7,foss/2024a,`module load foss/2024a Lua/5.4.7`
Autotools,20231222,foss/2024a,`module load foss/2024a Autotools/20231222`
re2c,3.1,foss/2024a,`module load foss/2024a re2c/3.1`
Wayland,1.23.0,foss/2024a,`module load foss/2024a Wayland/1.23.0`
LibTIFF,4.6.0,foss/2024a,`module load foss/2024a LibTIFF/4.6.0`
ruamel.yaml,0.18.6,foss/2024a,`module load foss/2024a ruamel.yaml/0.18.6`
gperf,3.1,foss/2024a,`module load foss/2024a gperf/3.1`
Tcl,8.6.14,foss/2024a,`module load foss/2024a Tcl/8.6.14`
patchelf,0.18.0,foss/2024a,`module load foss/2024a patchelf/0.18.0`
x265,3.6,foss/2024a,`module load foss/2024a x265/3.6`
libdrm,2.4.122,foss/2024a,`module load foss/2024a libdrm/2.4.122`
libheif,1.19.5,foss/2024a,`module load foss/2024a libheif/1.19.5`
Tkinter,3.12.3,foss/2024a,`module load foss/2024a Tkinter/3.12.3`
gzip,1.13,foss/2024a,`module load foss/2024a gzip/1.13`
Perl-bundle-CPAN,5.38.2,foss/2024a,`module load foss/2024a Perl-bundle-CPAN/5.38.2`
libxslt,1.1.42,foss/2024a,`module load foss/2024a libxslt/1.1.42`
SQLite,3.45.3,foss/2024a,`module load foss/2024a SQLite/3.45.3`
cryptography,42.0.8,foss/2024a,`module load foss/2024a cryptography/42.0.8`
libreadline,8.2,foss/2024a,`module load foss/2024a libreadline/8.2`
numactl,2.0.18,foss/2024a,`module load foss/2024a numactl/2.0.18`
libvori,220621,foss/2024a,`module load foss/2024a libvori/220621`
intltool,0.51.0,foss/2024a,`module load foss/2024a intltool/0.51.0`
CGAL,5.6.1,foss/2024a,`module load foss/2024a CGAL/5.6.1`
double-conversion,3.3.0,foss/2024a,`module load foss/2024a double-conversion/3.3.0`
libunwind,1.8.1,foss/2024a,`module load foss/2024a libunwind/1.8.1`
Python,3.12.3,foss/2024a,`module load foss/2024a Python/3.12.3`
help2man,1.49.3,foss/2024a,`module load foss/2024a help2man/1.49.3`
GDRCopy,2.4.1,foss/2024a,`module load foss/2024a GDRCopy/2.4.1`
JasPer,4.2.4,foss/2024a,`module load foss/2024a JasPer/4.2.4`
flex,2.6.4,foss/2024a,`module load foss/2024a flex/2.6.4`
FriBidi,1.0.15,foss/2024a,`module load foss/2024a FriBidi/1.0.15`
UCC,1.3.0,foss/2024a,`module load foss/2024a UCC/1.3.0`
cURL,8.7.1,foss/2024a,`module load foss/2024a cURL/8.7.1`
util-linux,2.40,foss/2024a,`module load foss/2024a util-linux/2.40`
coverage,7.9.2,foss/2024a,`module load foss/2024a coverage/7.9.2`
libfabric,1.21.0,foss/2024a,`module load foss/2024a libfabric/1.21.0`
nettle,3.10,foss/2024a,`module load foss/2024a nettle/3.10`
libiconv,1.17,foss/2024a,`module load foss/2024a libiconv/1.17`
MPFR,4.2.1,foss/2024a,`module load foss/2024a MPFR/4.2.1`
CMake,3.29.3,foss/2024a,`module load foss/2024a CMake/3.29.3`
fontconfig,2.15.0,foss/2024a,`module load foss/2024a fontconfig/2.15.0`
libogg,1.3.5,foss/2024a,`module load foss/2024a libogg/1.3.5`
libgit2,1.8.1,foss/2024a,`module load foss/2024a libgit2/1.8.1`
Mako,1.3.5,foss/2024a,`module load foss/2024a Mako/1.3.5`
pre-commit,3.7.0,foss/2024a,`module load foss/2024a pre-commit/3.7.0`
libglvnd,1.7.0,foss/2024a,`module load foss/2024a libglvnd/1.7.0`
Clang,18.1.8,foss/2024a,`module load foss/2024a Clang/18.1.8`
freetype,2.13.2,foss/2024a,`module load foss/2024a freetype/2.13.2`
freeglut,3.6.0,foss/2024a,`module load foss/2024a freeglut/3.6.0`
PyQt5,5.15.11,foss/2024a,`module load foss/2024a PyQt5/5.15.11`
ATK,2.38.0,foss/2024a,`module load foss/2024a ATK/2.38.0`
bzip2,1.0.8,foss/2024a,`module load foss/2024a bzip2/1.0.8`
fonttools,4.53.1,foss/2024a,`module load foss/2024a fonttools/4.53.1`
zstd,1.5.6,foss/2024a,`module load foss/2024a zstd/1.5.6`
cairo,1.18.0,foss/2024a,`module load foss/2024a cairo/1.18.0`
Automake,1.16.5,foss/2024a,`module load foss/2024a Automake/1.16.5`
libGLU,9.0.3,foss/2024a,`module load foss/2024a libGLU/9.0.3`
HarfBuzz,9.0.0,foss/2024a,`module load foss/2024a HarfBuzz/9.0.0`
GMP,6.3.0,foss/2024a,`module load foss/2024a GMP/6.3.0`
SDL2,2.30.6,foss/2024a,`module load foss/2024a SDL2/2.30.6`
psutil,6.0.0,foss/2024a,`module load foss/2024a psutil/6.0.0`
libtool,2.4.7,foss/2024a,`module load foss/2024a libtool/2.4.7`
assimp,5.4.3,foss/2024a,`module load foss/2024a assimp/5.4.3`
lit,18.1.8,foss/2024a,`module load foss/2024a lit/18.1.8`
LLVM,20.1.5,foss/2024a,`module load foss/2024a LLVM/20.1.5`
LLVM,18.1.8,foss/2024a,`module load foss/2024a LLVM/18.1.8`
PRRTE,3.0.5,foss/2024a,`module load foss/2024a PRRTE/3.0.5`
libjpeg-turbo,3.0.1,foss/2024a,`module load foss/2024a libjpeg-turbo/3.0.1`
Gdk-Pixbuf,2.42.11,foss/2024a,`module load foss/2024a Gdk-Pixbuf/2.42.11`
NSPR,4.35,foss/2024a,`module load foss/2024a NSPR/4.35`
PyQt-builder,1.18.1,foss/2024a,`module load foss/2024a PyQt-builder/1.18.1`
Voro++,0.4.6,foss/2024a,`module load foss/2024a Voro++/0.4.6`
x264,20240513,foss/2024a,`module load foss/2024a x264/20240513`
DBus,1.15.8,foss/2024a,`module load foss/2024a DBus/1.15.8`
FLAC,1.4.3,foss/2024a,`module load foss/2024a FLAC/1.4.3`
xorg-macros,1.20.1,foss/2024a,`module load foss/2024a xorg-macros/1.20.1`
cffi,1.16.0,foss/2024a,`module load foss/2024a cffi/1.16.0`
binutils,2.42,foss/2024a,`module load foss/2024a binutils/2.42`
Brotli,1.1.0,foss/2024a,`module load foss/2024a Brotli/1.1.0`
PCRE2,10.43,foss/2024a,`module load foss/2024a PCRE2/10.43`
tbb,2021.13.0,foss/2024a,`module load foss/2024a tbb/2021.13.0`
parallel,20240722,foss/2024a,`module load foss/2024a parallel/20240722`
libpciaccess,0.18.1,foss/2024a,`module load foss/2024a libpciaccess/0.18.1`
FFmpeg,7.0.2,foss/2024a,`module load foss/2024a FFmpeg/7.0.2`
libcerf,2.4,foss/2024a,`module load foss/2024a libcerf/2.4`
make,4.4.1,foss/2024a,`module load foss/2024a make/4.4.1`
Pillow,10.4.0,foss/2024a,`module load foss/2024a Pillow/10.4.0`
pixman,0.43.4,foss/2024a,`module load foss/2024a pixman/0.43.4`
METIS,5.1.0,foss/2024a,`module load foss/2024a METIS/5.1.0`
UCX,1.16.0,foss/2024a,`module load foss/2024a UCX/1.16.0`
PMIx,5.0.2,foss/2024a,`module load foss/2024a PMIx/5.0.2`
ncurses,.6.5,foss/2024a,`module load foss/2024a ncurses/.6.5`
Cython,3.0.10,foss/2024a,`module load foss/2024a Cython/3.0.10`
libpng,1.6.43,foss/2024a,`module load foss/2024a libpng/1.6.43`
Pango,1.54.0,foss/2024a,`module load foss/2024a Pango/1.54.0`
libevent,2.1.12,foss/2024a,`module load foss/2024a libevent/2.1.12`
Yasm,1.3.0,foss/2024a,`module load foss/2024a Yasm/1.3.0`
Doxygen,1.11.0,foss/2024a,`module load foss/2024a Doxygen/1.11.0`
gnuplot,6.0.1,foss/2024a,`module load foss/2024a gnuplot/6.0.1`
hwloc,2.10.0,foss/2024a,`module load foss/2024a hwloc/2.10.0`
libde265,1.0.15,foss/2024a,`module load foss/2024a libde265/1.0.15`
libxml2,2.12.7,foss/2024a,`module load foss/2024a libxml2/2.12.7`
NASM,2.16.03,foss/2024a,`module load foss/2024a NASM/2.16.03`
scikit-build-core,0.10.6,foss/2024a,`module load foss/2024a scikit-build-core/0.10.6`
git,2.45.1,foss/2024a,`module load foss/2024a git/2.45.1`
PLY,3.11,foss/2024a,`module load foss/2024a PLY/3.11`
UnZip,6.0,foss/2024a,`module load foss/2024a UnZip/6.0`
Qt5,5.15.16,foss/2024a,`module load foss/2024a Qt5/5.15.16`
graphite2,1.3.14,foss/2024a,`module load foss/2024a graphite2/1.3.14`
poetry,1.8.3,foss/2024a,`module load foss/2024a poetry/1.8.3`
hypothesis,6.103.1,foss/2024a,`module load foss/2024a hypothesis/6.103.1`
NCCL,2.22.3-CUDA-12.6.0,foss/2024a,`module load foss/2024a NCCL/2.22.3-CUDA-12.6.0`
OpenJPEG,2.5.2,foss/2024a,`module load foss/2024a OpenJPEG/2.5.2`
Catch2,2.13.10,foss/2024a,`module load foss/2024a Catch2/2.13.10`
tcsh,6.24.13,foss/2024a,`module load foss/2024a tcsh/6.24.13`
maturin,1.6.0,foss/2024a,`module load foss/2024a maturin/1.6.0`
meson-python,0.16.0,foss/2024a,`module load foss/2024a meson-python/0.16.0`
UCX-CUDA,1.16.0-CUDA-12.6.0,foss/2024a,`module load foss/2024a UCX-CUDA/1.16.0-CUDA-12.6.0`
Qhull,2020.2,foss/2024a,`module load foss/2024a Qhull/2020.2`
Python-bundle-PyPI,2024.06,foss/2024a,`module load foss/2024a Python-bundle-PyPI/2024.06`
libwebp,1.4.0,foss/2024a,`module load foss/2024a libwebp/1.4.0`
Tk,8.6.14,foss/2024a,`module load foss/2024a Tk/8.6.14`
libdeflate,1.20,foss/2024a,`module load foss/2024a libdeflate/1.20`
pkgconf,2.2.0,foss/2024a,`module load foss/2024a pkgconf/2.2.0`
libyaml,0.2.5,foss/2024a,`module load foss/2024a libyaml/0.2.5`
